,BSB,Gag,GAm,GTr,RPo,RGr,RSn,Sca,Sno,Ver
1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,NA,NA,NA,NA,NA,NA,NA,NA,0.1266574,NA
1975,NA,NA,NA,NA,-0.483856,NA,NA,NA,0.709415,NA
1976,NA,0.05015283,NA,NA,0.01132722,1.510903,NA,NA,0.2210176,-0.01087667
1977,NA,-0.6496645,NA,NA,1.303216,0.8813924,NA,NA,-0.1522082,0.007481476
1978,NA,0.06085322,NA,NA,0.2069264,1.097202,-1.063866,NA,-0.2278716,-0.06201238
1979,0.5686311,0.2724066,NA,NA,-0.4402733,0.8076356,-1.104119,NA,-0.5456907,-0.1102316
1980,0.6626788,0.0559732,NA,NA,0.136595,0.1402095,-0.1892721,-0.4045663,-0.4864801,-0.0552637
1981,0.6931814,-0.0007979973,NA,NA,0.006307507,0.2639332,-1.107035,0.1079678,-0.5088184,-0.08470515
1982,0.3702618,0.7033014,NA,NA,-0.347234,0.6426995,-0.2536389,-0.0357674,-0.4311283,-0.0891104
1983,0.3210866,-0.4298113,NA,NA,0.1530384,-0.07676802,0.8715424,0.03314733,-0.5595844,0.1997151
1984,0.3274648,-0.4152106,NA,NA,0.1887738,0.03258274,0.8163593,0.1663552,-0.4686561,-0.1198143
1985,0.3995989,0.4282573,NA,NA,0.3195256,-0.05349484,-0.2914129,0.08495082,0.2474377,0.06938964
1986,0.4712993,0.6173855,NA,NA,0.3059954,-0.09631731,-0.4306811,0.76285,0.4008959,0.06435668
1987,0.199956,0.390171,NA,NA,0.2302096,0.5052378,0.2058734,0.7882227,0.2150536,-0.3327723
1988,0.282858,0.4614258,NA,NA,0.8133945,-0.2134346,-0.01300435,1.142786,0.6182383,0.3988103
1989,0.3071109,0.3430178,NA,NA,0.5251926,-0.6156065,-0.8872686,0.9006937,0.3567635,0.4073863
1990,0.05498498,0.5901969,0.1986726,-0.3676206,0.4351131,-0.2068093,-1.001198,0.2872901,0.296198,-0.3598706
1991,0.1350342,0.6274099,0.2688752,0.3389538,0.3468057,0.710906,-0.3940429,1.023017,0.3851586,-0.011065
1992,-0.2474541,0.07309252,0.1627685,0.1502211,0.004604185,0.299097,-0.471722,0.1801055,0.4149306,0.2070906
1993,-0.2772034,-0.1244602,-0.005638061,0.3296739,0.06076358,0.1980485,-1.337358,0.5367146,0.728475,0.1533509
1994,0.09057315,0.2356973,-0.189635,0.5053743,0.2412267,0.2793208,-0.7643008,0.9285874,0.8474147,-0.3125298
1995,-0.008328343,0.4051614,-0.2803595,0.3459452,0.6085863,0.9468538,-1.423115,0.9387415,0.604933,-0.3772971
1996,-0.1119052,0.6891941,-0.6316607,-0.2476582,-0.09433453,0.471465,-0.8504819,0.7264198,0.4371085,-0.09063066
1997,-0.05487098,0.2112841,-0.6468223,-0.5938648,0.06718745,-0.3339296,-0.4923166,0.3949499,0.26069,0.1175237
1998,0.2722502,-0.04751442,0.0353371,-0.4078753,0.2144616,-0.5049302,0.162452,0.5823915,0.18468,0.4102147
1999,0.001058241,0.1843306,0.02847554,-0.2721326,-0.1440882,0.6002409,0.401526,0.4647742,0.4891877,0.1970173
2000,0.218994,0.1949908,-0.08022459,0.03459411,-0.7319741,0.01195317,0.5655395,0.3607382,0.4815238,0.07343149
2001,0.1594967,0.2200321,0.4932842,-0.06873362,-0.002769197,0.4550397,0.0479154,0.8077235,0.5059015,0.05513901
2002,0.131539,0.5734695,-0.2305933,-0.02549292,0.3732929,0.3820404,-0.002575537,0.7787361,0.5030595,0.5869024
2003,0.06777575,0.2519137,-0.4901623,-0.3515328,0.03730924,1.407127,0.3453034,0.6936752,0.2689542,-0.3290512
2004,0.2460537,0.0302613,-0.3911044,-0.08342098,0.01591951,0.5132309,-0.6969547,0.3092026,0.01744127,-0.388545
2005,-0.04611998,-0.09990598,-0.5109705,-0.1216158,0.1598289,-0.5564867,-1.586305,-0.07431573,-0.2951907,-0.1119779
2006,0.133101,0.1571023,0.3792921,-0.3544123,0.2830391,-0.9380524,1.481,-0.2714082,-0.3509335,0.6252776
2007,0.155505,0.2347299,0.2936557,0.1421791,-0.1894748,-0.7152823,1.143193,-0.2151735,-0.1597516,0.2097635
2008,0.2320914,0.04953566,0.29798,-0.157665,-0.6122262,-0.1003428,0.9647223,-0.1536737,0.05319863,0.713874
2009,0.3114325,-0.03023768,-0.05475946,0.1377716,-0.1780101,-0.04772076,-0.6548055,-0.4245123,0.2360806,-0.3013455
2010,0.6224241,-0.4896416,0.08469152,-0.1196903,0.3406948,-0.5576132,-0.8463208,-0.9945603,-0.03884296,-0.4445126
2011,0.3475605,-0.4681139,-0.1346104,0.3635514,0.2702713,-0.3535798,-0.387322,-1.123745,-0.4655926,0.05458442
2012,0.01495444,-0.4137262,0.4586402,0.4546251,-0.2676327,-0.7330407,-0.5024697,-0.8210117,-0.938346,-0.450767
2013,-0.04929593,-0.6048518,0.1893806,-0.07932557,-0.9199475,-1.048876,0.1469558,-0.7179002,-0.836572,-0.400608
2014,-0.1508515,-0.8614948,0.5858028,0.4955611,-0.5984216,-0.7682863,1.043807,-0.9427398,-0.898549,-0.1052334
2015,-0.5579378,-0.8941807,0.3048776,0.4077144,-0.8643569,-0.9049918,1.145429,-1.483804,-0.8922919,-0.0005935763
2016,-0.9023172,-0.272574,0.02903996,0.07697505,-0.5478889,-0.9335565,1.002726,-1.296728,-0.8013326,-0.002495061
2017,-0.9068842,-1.205823,-0.164233,-0.2770058,-1.237118,-0.7950583,1.348973,-1.837069,-0.5525738,NA
2018,-1.101109,-1.082501,NA,-0.2550935,NA,-0.566436,0.9185959,-1.401411,NA,NA
2019,-1.532879,-0.02083726,NA,NA,NA,-0.7199465,1.496686,-0.8016543,NA,NA
2020,-1.8518,NA,NA,NA,NA,-0.3165577,1.18517,NA,NA,NA
2021,NA,NA,NA,NA,NA,NA,1.560094,NA,NA,NA
2022,NA,NA,NA,NA,NA,NA,0.6020948,NA,NA,NA
2023,NA,NA,NA,NA,NA,NA,-0.7043708,NA,NA,NA
