"Variable","Method","Breaks"
"bottomT","bottomT","bottomT"
"MeanVar","MeanVar","MeanVar"
"18019","18019","18019"
"bottomT","bottomT","bottomT"
"Mean","Mean","Mean"
"18018","18018","18018"
"bottomT","bottomT","bottomT"
"Var","Var","Var"
"18409","18409","18409"
"sst","sst","sst"
"MeanVar","MeanVar","MeanVar"
"8524","8524","8524"
"sst","sst","sst"
"Mean","Mean","Mean"
"8524","8524","8524"
"mixedlayer","mixedlayer","mixedlayer"
"MeanVar","MeanVar","MeanVar"
"8483","8483","8483"
"mixedlayer","mixedlayer","mixedlayer"
"Mean","Mean","Mean"
"8479","8479","8479"
