"Variable","Method","Dates","Breaks"
"bottomT","MeanVar","18932","347"
"bottomT","MeanVar","18962","348"
"bottomT","Mean","17987","316"
"bottomT","Mean","18962","348"
"bottomT","Var","18962","348"
"sst","MeanVar","18932","347"
"sst","MeanVar","18962","348"
"sst","Mean","8491","4"
"sst","Mean","18962","348"
"sst","Var","18962","348"
"mixedlayer","MeanVar","18932","347"
"mixedlayer","MeanVar","18962","348"
"mixedlayer","Mean","8460","3"
"mixedlayer","Mean","18962","348"
"mixedlayer","Var","18962","348"
