"YR","Summer","Winter","no"
1993,0.238562394666667,0.171961043,0.064753174
1994,0.000834911333333331,-0.166216207,0.0546816476666667
1995,0.060415015,0.0603073426666667,-0.089615333
1996,-0.0642815843333333,-0.137060805666667,-0.121729234
1997,0.200093486333333,-0.160386269,0.107612561666667
1998,0.376202043666667,0.20564474,0.0744754796666667
1999,-0.0642341956666667,-0.109352396,-0.0347052623333333
2000,-0.256864586,-0.228068458,-0.00319061266666668
2001,-0.127966376,-0.059363743,-0.039414786
2002,0.0716194716666667,-0.0289078823333333,0.0175068203333333
2003,0.126673917,0.0774320643333333,-0.0132446286666667
2004,0.089595386,0.0726533873333333,-0.0352823673333333
2005,-0.0286289976666667,0.085732617,0.016172297
2006,-0.116988865,-0.154999886666667,0.0476997791666667
2007,-0.069849063,-0.00362573266666667,0.0380304093333333
2008,-0.260935637666667,-0.0901608,-0.0891124213333333
2009,-0.065349783,-0.0431919933333333,-0.0231889743333333
2010,-0.230018261333333,0.421519389666667,-0.0370765608333333
2011,-0.104293271333333,-0.0914146183333333,-0.0395840836666667
2012,0.00888770899999999,-0.31054417,-0.0707366475
2013,-0.0943222,0.205086647,0.045262743
2014,0.222543780333333,0.141166437333333,-0.00539521683333334
2015,0.101012542333333,0.287194729666667,0.0648567346666667
2016,0.198658718,-0.113641795333333,-0.122038469166667
2017,-0.046702891,-0.0206351436666667,0.00447018166666667
2018,-0.0794717746666667,-0.101663776333333,0.065278466
2019,0.0645983446666667,0.085368171,0.134311089666667
2020,0.298693268666667,0.0125914496666667,0.00882086016666667
